movie_id,title,genre,emotion_tags,BA,duration
37,38. The Pianist (2002),"Biography, Drama, Music",Tristesse,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DQGMRmp6uYc8&ved=2ahUKEwiy5NOi0OiKAxVzUaQEHeFNCAIQtwJ6BAgKEAI&usg=AOvVaw31TfN59-jogThZL4GuUxmA,150
38,39. Gladiator (2000),"Action, Adventure, Drama",Motivation,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DChcgxBAzrks&ved=2ahUKEwjV9-Cn0OiKAxX6UKQEHbwrECgQtwJ6BAgQEAI&usg=AOvVaw2ZdX41lUhGKKZ-8miuNv2t,155
39,40. American History X (1998),Drama,Tristesse,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DGlOT1vpy9oM&ved=2ahUKEwiN5qKw0OiKAxU6fKQEHVwOLewQtwJ6BAgOEAI&usg=AOvVaw3X750AAUnlE9aiFVgwOlqf,119
40,41. The Usual Suspects (1995),"Crime, Mystery, Thriller",Peur,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3D3aKG_n3Jy4w&ved=2ahUKEwjf9Nq00OiKAxVQU6QEHUisIpMQtwJ6BAgSEAI&usg=AOvVaw2Q4644Zw-MvdB5QOMMMQGb,106
41,42. Léon: The Professional (1994),"Action, Crime, Drama",Peur,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DvSi5jdziv3I&ved=2ahUKEwi0rJi70OiKAxV-AfsDHaQ5CnsQtwJ6BAgREAI&usg=AOvVaw3CNYji-t-6Y2cTF9uU07Ce,110
42,43. The Lion King (1994),"Animation, Adventure, Drama",Joie,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DmOXKWZGjODE&ved=2ahUKEwjXvZXL0OiKAxWCRKQEHSwqBcwQtwJ6BAgPEAI&usg=AOvVaw1wbqtidVvTQjO9cBlEgTiy,88
43,44. Terminator 2: Judgment Day (1991),"Action, Sci-Fi",Joie,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DMgvVWCVp8MY&ved=2ahUKEwia27LQ0OiKAxVuTaQEHXOQD_gQtwJ6BAgPEAI&usg=AOvVaw1rlkH_lvuDDM7SMu-YUCH2,137
44,45. Cinema Paradiso (1988),Drama,Tristesse,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3Du_s-4OAxkKw&ved=2ahUKEwiZ_djX0OiKAxXrcKQEHRCkGTcQtwJ6BAgQEAI&usg=AOvVaw1ZgfwvKaCYq7pEUQr8XoXl,155
45,46. Grave of the Fireflies (1988),"Animation, Drama, War",Tristesse,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3D4vPeTSRd580&ved=2ahUKEwj2t6Ld0OiKAxWMU6QEHZexOL0QtwJ6BAgPEAI&usg=AOvVaw3Ht578U-ZxWZ66LYHsu9BI,89
46,47. Back to the Future (1985),"Adventure, Comedy, Sci-Fi",Joie,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DcU5BREZ9ke0&ved=2ahUKEwjX8Nnm0OiKAxUpVaQEHeN7PWEQtwJ6BAgQEAI&usg=AOvVaw0MSWjsJnMZnOvf4mKI6BFp,116
47,48. Anand (1971),"Drama, Musical",Tristesse,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.dailymotion.com/video/x8htf3b&ved=2ahUKEwjulNHr0OiKAxV0T6QEHZosHSAQtwJ6BAgMEAI&usg=AOvVaw3mRPiOZS-OEp3jcrCXw2WA,122
48,49. Once Upon a Time in the West (1968),Western,Peur,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3D591ov1tj3EQ&ved=2ahUKEwj3pJby0OiKAxX7VaQEHScwHiUQtwJ6BAgQEAI&usg=AOvVaw1Ib__PRZJBh4D8mZlg0jbV,165
49,50. Psycho (1960),"Horror, Mystery, Thriller",Peur,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.dailymotion.com/video/x7qhzm&ved=2ahUKEwiazqX30OiKAxXgTaQEHcROOr8QtwJ6BAgPEAI&usg=AOvVaw3eobzFxfYwh3DSiZnbImDB,109
50,51. Casablanca (1942),"Drama, Romance, War",Joie,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DsT3NkCiiToE&ved=2ahUKEwjezO_-0OiKAxVoKvsDHRHVEnkQtwJ6BAgOEAI&usg=AOvVaw2QlxyA0eS10HY6ThHxm4nO,102
51,52. Modern Times (1936),"Comedy, Drama, Family",Joie,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DgWsU67J-qUc&ved=2ahUKEwiGgtWN0uiKAxUYUaQEHa9jAmQQtwJ6BAgYEAI&usg=AOvVaw3KzpwxUIVl5v71-875GDJm,87
52,53. City Lights (1931),"Comedy, Drama, Romance",Tristesse,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.dailymotion.com/video/x2lbwfh&ved=2ahUKEwjBscuS0uiKAxXVVKQEHRCODIQQtwJ6BAgOEAI&usg=AOvVaw1gdcTFRhoSLw23RdM7ob3A,87
53,54. Capernaum (2018),Drama,Tristesse,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DN68t6YKWGJ8&ved=2ahUKEwiL5oOc0uiKAxWOUaQEHYeDM2oQtwJ6BAgEEAI&usg=AOvVaw3XB_uQMlSd2Dzxlx0rCLgh,126
54,55. Ayla: The Daughter of War (2017),"Biography, Drama, History",Tristesse,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DsiamfWfTfyI&ved=2ahUKEwjWoZbK0uiKAxUnVKQEHXthFhIQtwJ6BAgREAI&usg=AOvVaw2ZlGHuzYtu_i372WcmogDP,125
55,56. Your Name. (2016),"Animation, Drama, Fantasy",Joie,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DAROOK45LXXg&ved=2ahUKEwjClIXP0uiKAxWzfKQEHbdELcoQtwJ6BAgZEAI&usg=AOvVaw1eUEWLq5rvMXLu4GzAVlri,106
56,57. Dangal (2016),"Action, Biography, Drama",Motivation,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DBM-gr6PQO5w&ved=2ahUKEwiFk6nU0uiKAxXLVqQEHctOFWAQtwJ6BAgOEAI&usg=AOvVaw3xX29uQ7r1juGzdhDU0lbl,161
